Month,Date,Amount,Category
Mar 2025,,22.33,Cooking/Groceries
Mar 2025,,6.41,Cooking/Groceries
Mar 2025,,9.15,Cooking/Groceries
Mar 2025,,12.49,Cooking/Groceries
Mar 2025,,6.12,Cooking/Groceries
Mar 2025,,20,Cooking/Groceries
Mar 2025,,32.8,Cooking/Groceries
Mar 2025,,28.28,Cooking/Groceries
Mar 2025,,45.63,Projects
Mar 2025,,17.46,Cooking/Groceries
Mar 2025,,27.67,Cooking/Groceries
Mar 2025,,29.9,Personal-High Falls Gorge
Mar 2025,,10.69,Personal-High Falls Gorge
Mar 2025,,31.97,Personal-High Falls Gorge
Mar 2025,,17.68,Personal-High Falls Gorge
Mar 2025,,28.64,Personal-High Falls Gorge
Mar 2025,,8.63,Cooking/Groceries
Mar 2025,,3.83,Cooking/Groceries
Mar 2025,,3.22,Cooking/Groceries
Mar 2025,,8.27,Cooking/Groceries
Mar 2025,,9.27,Cooking/Groceries
Mar 2025,,8.05,Cooking/Groceries
Mar 2025,,5.15,Cooking/Groceries
Mar 2025,,3.26,Cooking/Groceries
Mar 2025,,17.95,Cooking/Groceries
Mar 2025,,10.61,Cooking/Groceries
Mar 2025,,1.35,Transportation
Mar 2025,,2.85,Transportation
Mar 2025,,13.5,Cooking/Groceries
Mar 2025,,14.56,Cooking/Groceries
Mar 2025,,3.4,Cooking/Groceries
Mar 2025,,27.44,Projects
Mar 2025,,18.4,Cooking/Groceries
Mar 2025,,30,Transportation
Mar 2025,,22.49,Projects
Nov 2025,2025-11-01,9,Eating Out
Nov 2025,2025-11-01,28,Cooking/Groceries
Nov 2025,2025-11-01,6,Eating Out
Nov 2025,2025-11-01,8,Eating Out
Nov 2025,2025-11-02,3,Eating Out
Nov 2025,2025-11-02,24,Transportation
Nov 2025,2025-11-02,18,Cooking/Groceries
Nov 2025,2025-11-04,5,Eating Out
Nov 2025,2025-11-05,11,Eating Out
Nov 2025,2025-11-06,5,Eating Out
Nov 2025,2025-11-06,8,Eating Out
Nov 2025,2025-11-06,61,Clothing
Nov 2025,2025-11-07,5,Eating Out
Nov 2025,2025-11-07,10,Eating Out
Nov 2025,2025-11-07,10,Eating Out
Nov 2025,2025-11-07,28,Eating Out
Nov 2025,2025-11-07,25,Transportation
Nov 2025,2025-11-08,11,Eating Out
Nov 2025,2025-11-08,37,Eating Out
Nov 2025,2025-11-09,6,Eating Out
Nov 2025,2025-11-09,4,Eating Out
Nov 2025,2025-11-09,6,Eating Out
Nov 2025,2025-11-09,26,Transportation
Nov 2025,2025-11-09,9,Cooking/Groceries
Nov 2025,2025-11-09,57,Cooking/Groceries
Nov 2025,2025-11-10,25,Eating Out
Nov 2025,2025-11-10,4,Eating Out
Nov 2025,2025-11-11,5,Eating Out
Nov 2025,2025-11-13,48,Eating Out
Nov 2025,2025-11-13,5,Eating Out
Nov 2025,2025-11-16,5,Eating Out
Nov 2025,2025-11-19,20,Transportation
Nov 2025,2025-11-19,14,Eating Out
Nov 2025,2025-11-20,9,Eating Out
Nov 2025,2025-11-20,5,Eating Out
Nov 2025,2025-11-20,100,Projects
Nov 2025,2025-11-21,15,Cooking/Groceries
Nov 2025,2025-11-21,6,Eating Out
Nov 2025,2025-11-21,9,Eating Out
Nov 2025,2025-11-22,32,Transportation
Nov 2025,2025-11-22,6,Eating Out
Nov 2025,2025-11-22,7,Eating Out
Nov 2025,2025-11-22,7,Eating Out
Nov 2025,2025-11-23,17,Eating Out
Nov 2025,2025-11-26,10,Clothing
Nov 2025,2025-11-26,93,Clothing
Nov 2025,2025-11-26,53,Eating Out
Nov 2025,2025-11-26,16,Transportation
Nov 2025,2025-11-26,21,Transportation
Nov 2025,2025-11-26,9,Eating Out
Nov 2025,2025-11-27,7,Eating Out
Nov 2025,2025-11-28,4,Eating Out
Nov 2025,2025-11-28,8,Eating Out
Dec 2025,2025-12-04,20.89,Transportation
Dec 2025,2025-12-04,2.55,Eating Out
Dec 2025,2025-12-04,7.43,Eating Out
Dec 2025,2025-12-04,10.15,Eating Out
Dec 2025,2025-12-04,2.55,EAting Out
Dec 2025,2025-12-04,4.24,Transportation
Dec 2025,2025-12-04,10.00,Utilities
Dec 2025,2025-12-04,40.00,Beauty/Grooming
Dec 2025,2025-12-04,5.00,Eating Out
Dec 2025,2025-12-04,11.00,Cooking/Groceries
Dec 2025,2025-12-05,2.15,Eating Out
Dec 2025,2025-12-05,16.00,Clothing
Dec 2025,2025-12-05,11.00,Transportation
Dec 2025,2025-12-05,45.00,Eating Out
Dec 2025,2025-12-06,7.72,Eating Out
Dec 2025,2025-12-06,16.30,Transportation
Dec 2025,2025-12-07,3.00,Eating Out
Dec 2025,2025-12-07,6.63,Eating Out
Dec 2025,2025-12-08,10.30,Eating Out
Dec 2025,2025-12-08,3.00,Eating Out
Dec 2025,2025-12-09,11.00,Eating Out
Dec 2025,2025-12-09,6.30,Eating Out
Dec 2025,2025-12-09,21.70,Cooking/Groceries
Dec 2025,2025-12-10,80.00,Projects
Dec 2025,2025-12-12,33.00,Cooking/Groceries
Dec 2025,2025-12-12,15.00,Beauty/Grooming
Dec 2025,2025-12-12,3.00,Eating Out
Dec 2025,2025-12-12,8.88,Eating Out
Dec 2025,2025-12-12,3.60,Eating Out
Dec 2025,2025-12-14,3.69,Eating Out
Dec 2025,2025-12-14,42.00,Cooking/Groceries
Dec 2025,2025-12-15,3.69,Eating Out
Dec 2025,2025-12-15,105.93,Clothing
Dec 2025,2025-12-15,35.00,Transportation
Dec 2025,2025-12-17,5.10,Eating Out
Dec 2025,2025-12-18,6.43,Eating Out
Dec 2025,2025-12-18,30.50,Eating Out
Dec 2025,2025-12-18,5.00,Projects
Dec 2025,2025-12-19,45.00,Cooking/Groceries
Dec 2025,2025-12-20,30.00,Eating Out
Dec 2025,2025-12-20,5.00,Projects
Dec 2025,2025-12-20,40.00,Travel/Adventure
Dec 2025,2025-12-20,6.63,Eating Out
Dec 2025,2025-12-22,3.60,Eating Out
Dec 2025,2025-12-24,2.85,Eating Out
Dec 2025,2025-12-24,8.30,Eating Out
Dec 2025,2025-12-25,2.89,Eating Out
Dec 2025,2025-12-26,28.12,Transportation
Dec 2025,2025-12-26,2.19,Eating Out
